cod_fonte,taxon,nom_pt,nom_art,obs,classificação,n_amostra,idade,un_idade,local_coleta,pais_coleta,parte,peso (seco/úmido),ag ,disp_sd_ag,al ,disp_se_al,cd ,disp_se_cd,disp_sd_cd,disp_sem_cd,co ,disp_se_co,disp_sd_co,cr,disp_sd_cr,cu,disp_se_cu,disp_sem_cu,disp_sd_cu,fe,disp_se_fe,disp_sem_fe,disp_sd_sd,mn,disp_sem_mn,disp_se_mn,disp_sd_mn,pb,disp_sem_pb,disp_sd_pb,se,disp_sd_se,disp_se_se,zn,disp_se_zn,disp_sem_zn,disp_sd_zn,ca ,disp_se_ca,disp_sem_ca,k ,disp_se_k,disp_sem_k,mg,disp_se_mg,disp_sem_mg,na,disp_se_na,disp_sem_na,p,disp_se_p,disp_sem_p,ba,disp_se_ba,disp_sd_ba,mo,disp_se_mo,disp_sd_mo,s,disp_se_s,ptn,disp_rmse_lip,disp_sem_ptn,disp_se_ptn,disp_sd_ptn,lip,disp_rmse_lip,disp_sem_lip,disp_se_lip,disp_sd_lip,PUFA,disp_sd_PUFA,disp_rmse_PUFA,disp_se_PUFA,dis_sem_PUFA,w3,disp_rmse_w3,disp_sem_w3,disp_sd_w3,disp_se_w3,w6,disp_rmse_w6,disp_sem_w6,disp_sd_w6,disp_se_w6,Ti,disp_sd_ti
15,Mazama americana,veado-catineiro,venado colorado,,mamifero,5,,, Iquitos,Peru,Posteriores,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16965,,,,,,,,,,,,0.000056898,,,,,,,,,,,22.8636,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Cervus elaphus,veado-vermelho,wild red deer,,mamifero,50,>43,mes,Não informa,Espanha,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,0.000193,,0.000005,,0.003370,,0.000060,,0.000017,0.000001,,,,,,,,,0.001832,,0.000028,,0.0060,,0.000001,0.289,,0.003,0.03,,0.000001,0.109,,0.001,0.00218,,0.000001,,,,,,,,,,,,,,,,,,,0.12767,,,,0.0030532,0.024582,,0.0009928,,,0.102544,,0.0023732,,,,
16,Cervus elaphus,veado-vermelho,wild red deer,,mamifero,50,27-42,mes,Não informa,Espanha,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,0.000202,,0.000004,,0.003142,,0.000059,,0.000018,0.000001,,,,,,,,,0.001641,,0.000028,,0.0060,,0.000001,0.279,,0.003,0.038,,0.000001,0.121,,0.001,0.2200,,0.000001,,,,,,,,,,,,,,,,,,,0.054288,,,,0.0010776,0.012156,,0.0003504,,,0.041952,,0.0008376,,,,
16,Cervus elaphus,veado-vermelho,wild red deer,,mamifero,50,<27,mes,Não informa,Espanha,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,0.000211,,0.000003,,0.002731,,0.000058,,0.000022,0.000001,,,,,,,,,0.001362,,0.000028,,0.0060,,0.000001,0.288,,0.003,0.034999,,0.000001,0.105,,0.001,0.2350,,0.000001,,,,,,,,,,,,,,,,,,,0.025025,,,,0.000449,0.00583,,0.000146,,,0.01911,,0.000349,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 0,mamifero,4,19,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.06,,,,1.02,0.50,,,,0.003,,,,,,,,,,,,,,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 100,mamifero,4,19,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,1.06,0.61,,,,0.002,,,,,,,,,,,,,,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 200,mamifero,4,19,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.30,,,,1.02,0.49,,,,0.005,,,,,,,,,,,,,,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 300,mamifero,4,19,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.46,,,,1.08,0.41,,,,0.003,,,,,,,,,,,,,,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 400,mamifero,4,19,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.81,,,,1.04,0.34,,,,0.005,,,,,,,,,,,,,,,,,
17,Tayassu tajacu,cateto,peccaries,pressão 0,mamifero,4,38,mes,Belém - PA,Brasil,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.68,,,,1.30,0.81,,,,0.002,,,,,,,,,,,,,,,,,
